user_id,to_reads
3532,256|121|733|758|67|35|467|101|1055|815|131|1365|265|150|4|28|174|212|476|1184|16|869|287|233|410|885|284|113|75|83|595|119|272
3565,186|867|984
3569,10|219|141
3580,792
3601,546|482|867|538|268
3639,378
3656,211|283|426
3678,68|483|342|359|212|895|437|143|66|150|225
3752,457|142|1231|534
3757,53|379|139|440|994|94|6|961|1365|468|1477|47|193|81
3786,597
3796,144|61
3826,238|1526|736|100|408|222|174|111|47|65|405
3837,396|46|6|47|67
3846,104|467|113|67
3853,13
3857,35|109|131|83|361|485|274|297|1509|1055
3864,591|47|67|231|143|318|262|267|6|194
3884,56
3892,204|85|1094|637
3908,40|1675
3935,421|106
3953,772|255|97|984|87|113|103|297|121|937
3964,495|212|550|534|92|1272|216
3971,1675|1567|941|653|663|703
4000,67|663|41
4005,291|42|66|387|669|1186|118|1094|306|151
4027,485
4052,682
4061,943|325|195|291|180
4121,100
4127,665
4152,177|498|620
4170,118|204|116|138|43
4190,119|265|100|1144|736|57|426|13|225|421|212|186|231
4210,211|87|92|195|47|468|100|35
4227,94|417|211|193
4240,408
4252,64|480|265|654|47|498|1509|63|238|320
4273,100|378|779|306|743|986|436|3|49|52|47
4298,395|95|408|83|550|316|131|1068|407|730|1644|1319
4309,119|239|110
4362,191|688|129|11|54|46|104|142
4366,115
4404,1280
4470,143|61
4489,1644|1214
4519,473
4553,53|345|70|95|501|111|11|62|368|225|71|35|87|151|175|208|83|66|97
4580,199|495|36|79|126|287|323|264|297|718|304|395|109|129|121|1238|67
4603,232|572|30|165|188|277|258|192|55|68|265|180|323|60|271|191|468|233|559|264|426|249|354|472|395|241|377|430|1055|664|88|463|637|730|101|1393|2190|329|367|1642
4615,45|265|230|513|69|105|359|178|87|61
4693,493|11|22|272|89|471|590|8|916|76|388|255|903|374|829|87|997|1238|1752
4723,232|274|554
4730,496|534
4737,1566|137|463|554|457|472|437
4795,467
4803,410|409|100
4821,522|359|494|208|313
4846,46|557|11|122|283|167
4874,140|697|277
4880,11|131|55|268
4913,121|180|1136|1739|69|1088|91|437|70|267|930|262
4930,71|195|201|495|757|256|38|39|216|906
4934,122|98|997|54|69
4954,879|92|113|55|66|550|195|77|41|197|24|21
4965,312|144
4980,155|161|185
4999,663|815|82|92|408|122|239|115|188
5020,256|233|378|67
5031,48|54|71|103|109|118|222|230|31|665|311|1088|413|289|194|1064|820|1477|597|95|117|142|217|778|274|36|141|232
5044,104|208|298|100|961|1145|430|143|359|124
5113,523|231|142|407|516|362|285
5115,277
5135,188
5163,10|46|233|81|76|43|473
5175,45|104|87|4|13|919|129|503|60|47|325|1752|848|437|167
5179,1139|160|126|41
5194,31|291|410|14|121|181|47|249|520|208|35|1334|1136|567|924|143|146
5209,35|92|38|417|208
5238,95|100|89|165|188|290
5243,441|906
5261,709|653|129|45|344|520|101|233|381|107
5290,189|464|15|103|225|47|95|287|194|90|71|512|184|362|200|197|312|377|877|820
5304,67|233|56
5327,494|1051|181
5336,38|217|1135|426|408
5372,150|238|344|495|530|142|329|67|1021|121|119|323|8|32|899|930|869|30|318|421
5380,186|127|181|104|523|42|140|211|231|142|195|272|378|557|234|233|291|333|144|47|6|264
5461,162|67|665|241|139
5494,36|333|261|127|231|328|758|895|727|1011|199|47|1317|1675|216
5499,95|642|45|119|109|1231
5551,41|417|440|482
5569,113|378
5576,779|39|1334
5593,146
5617,109
5628,1411
5635,270
5646,188
5684,45|736|570|550|662|265|935
5702,160|177|646|361|225|531|590|498|899|497|50|85|792|1108|1465
5708,249|329|12|313|217|143|61
5721,67|1255|620|73|63|14|261|137|103|122|398|508|106|223|68|12|6|425|417|322|143|91
5733,284|213|67|396|20|16|495
5757,1477|815|67
5802,265|256|30
5817,233|82|64
5844,132|916
5863,1214
5886,291|124
5892,195|249|463|112
5908,126|276|371|36|360|119|239|46|241|11|100|35|178|45|289|559|61
5912,94|162|54|103|70|297|369|9|167
5923,417|424|45|240|374|88|1739|61|654
5928,718|709|171|230|471|451|498|611|101|727|959
5950,401
5961,283|546|689|312
5987,21|126|276|522|192|277|55|239
6022,255|186|38|94|119|354|100|118|287|46|95|959|47|40|1171|109|397|1214|338
6027,328|291|265|217|225|112
6046,52|117|606|371|508|1161|344|55|483|301|65|372|111|119|46|196|484|60|14|101|718|283|572|883
6059,46|67|329|417|57|233|212|94|306|457|323|883
6088,758|550|916|895|68|1231|115|1136|285|61|6|124|354|320|81|190
6104,238|546|329|41|468|120|70|87|11|69|105|54|116|67
6158,11|101|344|151|175|473|613
6166,534|1055|94|231|268|141
6173,15|277|185
6188,11|36|32|47|33|177|35
6200,289|304|984|378|1185|287|1435|523|89|2089|332|15|119|1202|162|8|468|37|240
6217,417|57|181
6246,567|584|473
6261,1133
6268,489|89|1178|70|498|95|961|94|58|468|168|71|123|72|368|480|1055|538|496|494|48|421|208|139|664|440|6|223|177
6301,100|35|195|47|41|190|185|240|262|290|143|144
6308,402|248|375|770|339|608|358|57|46|238|31|16|215|69
6323,87|45
6329,425|1021|78|73
6338,119|635|41|212|70|362
6366,464|103|650|129|115
6379,377|399|73|36|341|229|122|196|276|11
6395,1|329|398|284|372|663
6424,9|5|291|150|1094|58|1238|262|887|430|1255
6427,984|773|177|1785|377|595|119|1088|560|906|901|613|778|291|98|140
6436,417|958
6445,216|436|314|108|743|482|290|295|758
6458,329|606|338
6468,10|706|591|106
6470,323|43|100|361|654|45|546|869|179|47|48|139|650|106|190|94|233
6496,485|1094
6514,508|244
6541,131|178|55|10|43|64|81|229|272|161|173|733|372|374|344
6559,35|45|1970|287|60|457|53|682|196|563|806|311|346|142|426|276|225|265|1237|65
6567,119|38|1084
6579,959|1214
6615,256|417|143
6633,1393|46|38|273
6637,550|167|47|225|142
6668,208|115|654|124|682|592|1055|689
6702,1316
6715,300
6727,795|494|669
6752,4|1509|160|984|43|63|819|225|131|395|401|61|146|1642|354|234|1238|1144|181
6759,1477
6787,65|103|109|194|121|266|181|236|127|1|47|16
6797,179|221|688|199
6819,559|473|47|325|424|743|1644|53|463|249|437
6844,113|658|924
6884,109|273|779|326|768|13|80|79|198|94|121|119
6896,109
6909,144
6953,47|642|142|38|216|67|45|81|516|186|63|287|171|76|248|236|572|10|11|119|241|697|342|437|318|313|267
6966,60|654|20
6990,11|28|101|45|42|122|35|344|597|48|570|795|167|948|467
7001,100|150|372|534|189|59|544
7005,92|779|368|194
7071,625
7080,27|23|73
7088,675|578|654
7101,196|104
7150,8|359|66|757|736|318
7165,597|718
7185,233|395
7210,635|546|162|255|126
7224,997|356
7250,333|396|697|378
7260,642|47
7297,408|538|13|410|69
7301,58|35|54|33|265|138|496|100|55|1458|115|975|287|839|665|192|318|129|178|333|141|262
7304,930|144|216|342|45|36
7319,311|901
7332,21|2|10|138|1465|27|130|160|18|25|55|430|550|1316|1011|146|231|313|2190
7376,42|112|689|146|1051|144
7405,241|1434|80|641|362|611|1094|189|7|289|493
7422,209|297|405|383
7426,67|426|597|436|1005|66|727|106
7430,554
7438,100
7479,264|901|1171|47|1739|440|106|958|313|112|143|61
7488,637|93|50|595|941|872|829|494|87|934|48|653|180|410|456|461|961|198|249|782|471|230|1739|1184|959|301|516|937|126
7513,232|65|482|531
7523,80|925|58|587|828|192|225|654|359|146|112|277|249|255
7546,437
7564,820|473|490|91|887|192|883|557|572|215
7579,915|100|137|265|178|109|87|725|806|119|669|124|436
7585,574|362|36
7628,32|109|131|65|597|461|1214|736|523|959|1084|140|98|606|773|772|1465
7678,550|941|467|523|1084|179|178|782
7704,208|291|119|207|440|642|115|1365|522|146
7718,256|916|495|472|178|546|87|1021|67|45|65|124|208
7733,208|110|135|165|188
7740,265
7745,43|42|31
7784,43|171|559|66|377|453|378|241|63|67|47|217|883|40|417|119|22|1051|311|133
7802,374|132|212|233|101|1088|211|127|199
7844,467
7860,54|45|8|65|13|55
7875,961|1064|736|172|1144|1238
7896,65|83|79|92|508|7|126|276|43|322|312|492|298|637|69
7907,63|178|148|255|298|300|131|95|577
7926,1
7967,328|230|65
7979,508|43|318
7994,36|45|479|1566
8002,131|113|87|76|550|374|181|257|115|395|130|959|483|1393|20|1|17
8010,22|40|111|89
8016,92|89|48|265|316|1185|453|495|144|961|718|550|217|471|160|396|185|359|669|47|540|409|461|93|143|1752
8028,97|255|516
8031,101|328|494|916|195|92
8043,154
8048,57|40
8070,273
8075,5|65|483
8085,14|1435|426|100|860|54|326|39|67|46|115|190|318
8126,40|329|495|658|226|244|80|359
8139,538|127|31
8144,344|55|36|45|101|121|60|168|662|196|782|136|484|1316|100
8154,28|58|79|194|101|187|212|727|47|788|374|100
8182,173|350|1238|115|150|47|323|167
8188,35|40|111|261|82|25|27|122|81|332
8193,109|194|11|181|7|19|43|44|55|741|25|18|24|27|21|23|26|85|36|60|67|45|46|122|37|520|191|736|132|248|773
8219,227|281|343|5|94|28|58|79|71|103|40|261|7|13|15|19|82|67
8222,779|81|625|664|249|115
8241,298|547|977|611|1477|243|609|1075|1064|840|258|520
8251,14|121|13|55|25|24|18|27|21|23|9|85|36|42|113|63|682|142
8258,1509
8278,55|43|177|109|131|225|83|229|597|498|173
8291,175|223|20|113|188
8302,100|1|45|727|17|65|291|81|591|216|104|10|1311
8323,119|924|903|135|285|689
8334,111|217|1021
8340,101
8364,38|45|977|272|135|463
8397,65|94|58|42|40|72|15|398|10|38|43|76|66|89|13|55|48|54|126|228|101|46|67|115|186|63|142|312|77|258
8399,467|212|194|71
8403,559|1214|1073|337|174|395|451|30
8415,32|35|94|111|55|48
8429,57|173|268|65|113|122|36|265|262
8436,83|71|194
8444,87|591
8454,97|1434|503|718|395
8458,47
8463,480|16|47|398|186|1021|329|323|41|238|378|216|642|895|124
8468,523|176
8477,516
8505,89
8518,396
8541,142|175|188|282|115|377|424|212|258
8547,867|35|185|265|473|106|291
8566,872|323|82|284|54|265|186|142|109|638|146|47
8572,255|213|16|135|172|98|140|383|142
8590,64|572|17|98
8647,122|167|322
8652,329|440|11|67|104
8665,104|1644|119|10|94|121|103|178|48|249|113|76|323|426|95|32|867|304|494|662|595|757|258|457
8675,682|135
8693,554|712|186|710|265|2190|426|383|287|195|60|289|948|212|2124|192|2015|16|31|143|860
8699,32|534|1144|12|718|4
8709,272|137|78|133|997|1605|704|142|341|982|353|646|257|387|597|540|651|155|576|618|839|117|595|410|200|154|138
8719,94|142|233|115|663
8767,14|11|367|44|727|1051|265|103|426|408|249|104
8785,171|658
8789,8|168|255|522|65|126|177
8802,426|377|8|663|39|291|743|313
8807,92|83|986|70|848|240|567|559|94|233|47|177|396|613
8813,710|567|231|359|143|146
8821,40|112|1238|235|146|313|342|137|285
8828,4|8|194|71|121|222|82|83|318|901
8858,43|357|718|116|121|1509|1411|899|387|1178|293
8865,55|468|408|80|60|306|1642|238|48|1131|229|191|46|212|682|1133|346|316|758|185
8867,529|8|65|48|129|113|173|225|160|597|289|80|718|395
8894,596
8900,57|62|53|10|43|76|89|371|276|440
8917,194|529|63|83|427|104|597
8939,559|28|180|666|101|587|495|516|11|38
8966,304|550|482|225|249|658|231|467|68|342|924|162|1509|193|47
8973,65|109|10|66|523|426|688|193|36|208|1367|291|638|312|1021|190|113|55|143
8994,264|499|3|145|534|546|778|337|485
9004,739|1248|1139|967|225|1135|887|104|264|879|395|215|495|51|1739
9026,200|396|641|727
9035,104|1
9057,209
9077,359
9085,100|11|67|115|64|1011|239|37|697|495
9094,8|50|65|94|83|79|103|109|57|40|261|11|62|272|961|1509
9112,45|52|33|287|255|168|87|265|485|325|523|374|1435|297|249|546|516|653|867|323|697|106|217|6|436|779|172|407|625|354|567|112|440
9135,899|97|829|1970|1088
9145,194|222|78|561|321|626|399
9165,98
9189,408|57|100|44|523|341|97|550|295|1411|1584|6|106|143|77|47|76|903|195|322|793|360
9210,13|74|217|530
9229,1334|94|1158|522|212|129|689|184|233|762|290|181|371
9257,101|1167
9286,40|256|16|654|150|567|860|522|146|1005|290|379
9299,410
9329,236|38|66|89
9344,129|283|167
9375,50|40|92|38|54|118|287|129
9399,77|229|265|287|97|255|160|561|718|1094|493|195|189|793|386|868|1061
9409,378|682|1011
9422,14|32|101|35|94|79|83|71|103|194|115|62|76
9435,208|522|117|267
9456,4
9467,127|362
9474,33|57|86|209|82|550|1131|127|916
9503,417|457|1064|270|523
9512,499|1133|408|498|109|127|417|10|311|132
9540,36|473|982|51|313|1171
9561,867|584
9575,188
9588,14|35|94|28|79|103|109|194|22|115|11|82|398|66|89|1167|258|150|177|225|255|325|597|471|1561|451|478|171|230|984|572
9596,8|32|65|35|94|109|33|57|22|115|111|118|261|11|222|266|367|82|101|181|236|127|398|508|7|19|53|38|66|89|272|137|48|126|371|276|13|136|78|108|228
9607,322|46|92|653
9644,508|181|53|1
9648,312|314|877|53|71|97|390|664|611|30|74
9661,94|398|127|508|70|113|173|323|129|316|1238|55|1055
9675,916|613|136|249|625|73|8|150|359|99|217|94|36|121|15|117|70|264|718|118|468|357
9696,174|122|22|727|108|78|948|570|228|38|111|73|75|1457|710|961|514
9702,32|58|83|109|819
9716,314|282|216|223|126
9736,8|65|29|58|103|194|118|121|72|222|84|288|82|181|92|127|66|75|78|45|113|287|119|81|426|354|471|651|658
9752,47|233|115|689|467|1051|94
9783,642|30|359|267|190|262
9802,101|94|194|11|46|654|522|572|51|12|360|117|95|129|173|230|172|292|233|226
9830,71|121|76|44|13|39|68
9840,697|273
9843,255
9858,67
9863,45|36|378|81|329|550|35|658|273|13|63|54|198|265|387|754|1238|516|119|268|69|233|743|663|207|6
9896,115|111|81|1238|31|20|1088|106|743
9909,142|665|47|1005|39
9913,58|54|718|116|126|109
9919,35
9927,272
9937,57|142|64|111|710|362|325|925|1280|924|46|304
9948,16|196|124|733|595|284|287|185|809|100|485|425|226|217|60|55|887|369|763
9986,35|101|57|100|92|55|284|574|104
9999,869|407|273|1231|256|662|118|233|1159|38|180|35|314|312|36|119|60|39|67|283|192|964|41
10018,1021|895
10063,119|150|115|47|74
10084,103|13|60|736|181|54|95|255|959|208|1334|906
10087,559
10111,362
10153,453|144|654|360|265|31|212|208|316|1048|106|146|396|522|869|291|467
10162,8|65|28|71
10169,67|1|180|119|472|60|397|179|46|258|523|181|68|6|1334
10186,47
10204,57
10224,493|316|233|298|95|181|51|94|105|188|522
10226,22|245|148|326|417
10231,768|378|662|121|81|397|359
10246,239|733|100
10249,53|137
10262,67|41|151|337|312|666
10266,32|65|29|28|79|83|71|72|7|19|155|161|611|337|219|493|513|87|984
10293,38|46|642|67|167
10309,1038|172|185|237|488|553|556|703|915|986|911
10317,65|89|273|587|129|47|31|137|195
10326,47|195|61
10341,664|109|359|516|430|492|249
10376,75
10401,121|216|625|142|100|482|654
10422,223
10432,11|1334|379|47|417|127|12|488|1021|1272
10454,550|31|233|45|195|92|8|186|323|743|961|398|451|895|54|424|501|300
10469,100|181|64|238|150|6|144|142|421|1051|689|141
10478,94|100|137|741|36|46|122
10527,186|663
10535,249|256|587|664
10565,45|255|426|354|301|483|306|26|38|64|1161|107|10|66|13|11|14|65|104|46|119|48|212|162|76|177|130|95|287|297|117|289|198|132|80|264|194|16|136|213|484|401|109|94|1005
10578,101|50|35|83|121|11|86|15|181|92|236|127|398|10|38|76|272|55|177|40
10590,556|1139|242|1075|967|431|911|179|691|662|375
10604,40|229|795|493|591|688|35|314|178|941|46|473|119|113|255|70|33|19|100|161|181|264|736|323|284
10608,570|959|41
10624,8|57|72|15|188
10628,103|769|80|483|350|284|217|1316|14|1055|658|160|95|172|180|654|85|430|1970|178|139|1005|142|267
10656,148|421|146|239|4|68|67|331|328|25|18|27|21|23|36|37|56|13|155|161|184|26|189|113|6|91|262|313
10673,312|126|167|30|350|516
10697,65|22|53|38|741|136|322|495|975|534|91
10751,35|115|398|13
10757,325|490|383|141|215
10761,550|1477|119|1167|736|1393|104|67|557|122|658|114|472|819|584|165
10787,146|682|522|1055|47|377|295|74|312|137|81|217
10798,825|273
10800,1238|273|378|658|1021|1316|124|39
10844,195
10851,51|46|451|1311|31|9|201|522|54
10876,322|167|377|666|276|637|422
10898,236|264|689
10907,94|103|127|508|480|230
10920,379|100|137|572|313|277|359|595|682|1367
10928,1238|208|83|77
10939,40|100|115|111|121|261|181|92|62|272|70|126|371|276|108|228|310|156|1005
10953,238|316
10960,39|377|69|110|188|135|550|249|291|185|142|122|256|165|177|408|1316|91
10975,984|125|714|839|154|770|1167|410|597|123|281|227|343
10982,239|173|39|110|135|165|188
10990,375
11013,8
11022,1214
11031,587|924|127|788
11043,94|65|28|71|109|33|72|209|127|55|75|131|451
11068,310|1334|207|82
11079,10|43|76|66|272|48|14|65|94|79|83|71|103|194|100|81|654|67|130|177|160|233|37|171|664|255|467|289|287|142|354|230|485|498|1184|378|208|317|63|1681|341|658|763|401|688|1679|39
11090,8|50|32|65|22|57|40|100|115|118|111
11107,325|1642|432|109|341|701|1365|426|16|354|272
11114,81|437|440
11128,43|590|662|100|208|265|1272|112
11134,115|111|140|106
11150,362|109|2355|121
11156,97|39|396|186
11171,350|233|520|1566|872|1584|268|109|1280|101|344|516|45|46|323|130|395
11188,256|231|658|550|144|333|265|57|247|239|141|916|396|1311|68|508|101|318|313|146
11210,194|33|22|57|115|111|222|15|82|181|62|53|70|126|276|81|312|715|104|87|197|563|142|883|530|773|804|113|514|399|211
11216,35|46|67|64|119|270|620|6
11244,3|114|31
11264,14|35|94|83|109|92|55|13|48|424|104|815|255|131|173|223|129|233|113|95|180|130|498|160|523|374|826|489|666|516|276
11272,258|47|46
11285,457
11304,194|371
11308,139|239|397|473|360|758
11317,19|43|54|73
11341,38|60|71|230|779|662|208|28|46|311|793|190|211|247|316|408
11359,140|67|144|73|284|256|14|516|273
11372,65|35|9|115|113|611|191
11378,362|959|43|395|1435|984
11384,11|66|62|14|94|230|95|360|191|7|88|342|26|268|146|211|663|538|41
11408,181|236|10|43|76|66
11421,426|187|268|270
11453,26|46|67|173|328|559|60|249|350|762|570|611|587|664|129|47|114|305|14|65|196|140
11472,56|377|312|223|23|682
11495,256|1231|1365|1202
11502,437|560
11544,100
11577,239
11588,66|103|63|109|229|35|89|47|46|48|173|129|68|1214|620|476|520|472|427|1367|483|518|1135
11628,54|126|180|130|249|129|173|177|736|620|46|767|255|264|595|587|959|436|160|1526|1411|860|113|95
11664,55|32|1214|68|271|316|479|606|560|2355|1566|488|94|467|430|516
11678,47|310|1144|198|255|172|1714|848
11694,65|14|8|484
11716,495|225|55|104|1136|291|654|658|144|359|143|88
11728,194|230|125|154|471|248|646|387|977|699|1566|287|1186|47|67|46|111|948|1644|144|146|143|112|342|61|635|570|499|1458
11750,62|142|31|325|591|557|178|417|110|94|289|208|270|139|906|190|1334
11773,72
11785,62|377|130
11827,142|124|195|567|421
11839,94|265|100|453|231|710|482|654|162
11868,62|637|868|70
11885,13|55|104|476|225|1084|1393
11911,10|43|66|70|741|119|937|196|715|341|68|30
11947,33|103|89|94|126|289|142|93|119|592|71|138|205|60|212|233|186|31|387|264|518|196|782|148|274|362|304|653|326|523|375|704|453|762|701|1465|734|273|209|1365|733|298|416|409|577|664|187|557|425|867|538|378|499|1131|731|916|1176|851
11950,35|22|111|192|178|53|337
11953,115
11957,45|440|2|354|313
11986,560|408|31|8
12002,181
12009,67|291|124|440|1317|22
12016,554|712|45|60
12095,291|195|272|112|285|313|35|421|143|318|494|295|167|184|642
12135,114|476|682|557|424|485|1|142|57
12156,141|638|322
12167,333|997|172|30|63|67|225|249|119|171|256|230|212|87|160|93|162|1214|132|291|587|424|778|413|762|361|916|560|650|45|107|158|869|326|378|414|242|102|872|478|461
12187,50|65|111|92|89|179|546|489|587|233|399|219|157|1|809|251|102|116|358|70|444
12191,441|50|40|255|287|472
12194,437|718|768|313
12224,10|1|437|36|18|24
12238,8|65|83|194|40|115|118|11|53|44|272
12272,8|225|32|35|653|658|215
12285,440|494|226
12320,231|291
12361,592|426|374|256|195|408|98|1319|484|231|1011|140
12370,520|1055|410|190|265|192|80|219|47|59|157|229|464|809|35|31|204|130
12373,741|76|53|235
12407,122
12425,28|4|8|35|94|71|109|194|121|72|86|209|84|7|13|55|70|126|276
12446,441|95|121|83|55|289|179|287|255|119|178|757|160|138|204|424|557|1214|476|520|427|407|167|196|51|590|304|736|397|395|457|417|984|872|664|408|550|522
12464,40|11|272|75|78|136
12474,35|179|1|1055|369|408|1021|316
12509,508|92|101|272|137
12530,314|11
12561,216|291|465|333|397|119|112
12615,114|11|314|37|597|523|89|651|984|877|503|134|432|646|219|425|738|857|65|499
12623,930|924|1214|395|126|290|559
12650,94|121|467|185
12681,109|103|94|142|39|895|247
12710,638|47|463|516|39|110|135|165
12727,417|44|167|584|473|179
12746,320|267|906
12751,484|137|665|91|239|187|7|215|51
12753,626|404|268
12776,1055|916|658|654|231|638|1739|359
12781,361|757|66|70|117|58|97|43|53|122|283|718|395|1561|495
12788,95|560|268|570|249|587|354|48|68|90|494|437
12800,14|65|101|58|83|71|103|109|22|57|100|115|222|92|10|76|272|55|54|75|26|25|27|193|131|597|87|179|495|341|934|383|736|576
12829,65|8|79|194|233|268|104|691
12840,101|490|344|25|21
12843,304|421|14
12875,381|466|1|158|314|282|540|312|63|740|168|132|23|230|17|258|200|6|190|313|216
12900,35|103|111|121|310|66|212|265|67|47|89|421
12913,208
12924,135|165
12944,41|158|37|59|80
12948,4|14|65|109|40
12963,27|25
12984,94|38|287|255|903|984
13013,121|92|62|89|48|54|126|113|887|516|606|45
13045,317|743|300|424
13058,290
13065,25|104|212|407|16|378|467|98|140|82|94|178|68|1317
13084,39
13099,100|94|121|222|82|54
13112,284|592
13134,396|93|325|762|625|320|1518
13144,1167
13154,69|359|238|232|236|103|239|374|168|395|172|217|167|215
13163,906
13173,94|31
13189,83|109|398
13192,650
13197,101
13215,236|1367|181|357
13219,46|513|64|328|616
13239,22|45|457|16|1970|666
13243,33|733|559|81|754
13283,271|1061|116|666|304|234
13302,391|102|544|194|839|154|125|248|131|45|157|341|325|296|353|855|114|924|172|47|557|217|35|139
13308,46|41|31|97|106|193|204|347|143
13353,101|71|115|60|73|258|256|658|440|208|93|40|654|291|54
13361,231|1317
13373,587|14|35|54|67|212|265|124|1021|408|282|534|289|396|93|653|235|157
13391,642
13399,322|360
13431,8|58|109|65
13440,508|313|268|239|359|112|267|61|379
13454,103|127|92|653|1133|557|47|185
